,target,id,date,flag,user,text
0,0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,awww bummer shoulda got david carr third day
1,0,1467810672,Mon Apr 06 22:19:49 PDT 2009,NO_QUERY,scotthamilton,upset updat facebook text might cri result school today also blah
2,0,1467810917,Mon Apr 06 22:19:53 PDT 2009,NO_QUERY,mattycus,dive mani time ball manag save rest go bound
3,0,1467811184,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,ElleCTF,whole bodi feel itchi like fire
4,0,1467811193,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,Karoli,behav mad see
5,0,1467811372,Mon Apr 06 22:20:00 PDT 2009,NO_QUERY,joy_wolf,whole crew
6,0,1467811592,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,mybirch,need hug
7,0,1467811594,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,coZZ,hey long time see yes rain bit bit lol fine thank
8,0,1467811795,Mon Apr 06 22:20:05 PDT 2009,NO_QUERY,2Hood4Hollywood,nope
9,0,1467812025,Mon Apr 06 22:20:09 PDT 2009,NO_QUERY,mimismo,que muera
10,0,1467812416,Mon Apr 06 22:20:16 PDT 2009,NO_QUERY,erinx3leannexo,spring break plain citi snow
11,0,1467812579,Mon Apr 06 22:20:17 PDT 2009,NO_QUERY,pardonlauren,pierc ear
12,0,1467812723,Mon Apr 06 22:20:19 PDT 2009,NO_QUERY,TLeC,bear watch thought ua loss embarrass
13,0,1467812771,Mon Apr 06 22:20:19 PDT 2009,NO_QUERY,robrobbierobert,count idk either never talk anymor
14,0,1467812784,Mon Apr 06 22:20:20 PDT 2009,NO_QUERY,bayofwolves,would first gun realli though zac snyder doucheclown
15,0,1467812799,Mon Apr 06 22:20:20 PDT 2009,NO_QUERY,HairByJess,wish got watch miss iamlilnicki premier
16,0,1467812964,Mon Apr 06 22:20:22 PDT 2009,NO_QUERY,lovesongwriter,holli death scene hurt sever watch film wri director cut
17,0,1467813137,Mon Apr 06 22:20:25 PDT 2009,NO_QUERY,armotley,file tax
18,0,1467813579,Mon Apr 06 22:20:31 PDT 2009,NO_QUERY,starkissed,ahh ive alway want see rent love soundtrack
19,0,1467813782,Mon Apr 06 22:20:34 PDT 2009,NO_QUERY,gi_gi_bee,oh dear drink forgotten tabl drink
20,0,1467813985,Mon Apr 06 22:20:37 PDT 2009,NO_QUERY,quanvu,day get much done
21,0,1467813992,Mon Apr 06 22:20:38 PDT 2009,NO_QUERY,swinspeedx,one friend call ask meet mid valley today time sigh
22,0,1467814119,Mon Apr 06 22:20:40 PDT 2009,NO_QUERY,cooliodoc,bake cake ate
23,0,1467814180,Mon Apr 06 22:20:40 PDT 2009,NO_QUERY,viJILLante,week go hope
24,0,1467814192,Mon Apr 06 22:20:41 PDT 2009,NO_QUERY,Ljelli3166,blagh class tomorrow
25,0,1467814438,Mon Apr 06 22:20:44 PDT 2009,NO_QUERY,ChicagoCubbie,hate call wake peopl
26,0,1467814783,Mon Apr 06 22:20:50 PDT 2009,NO_QUERY,KatieAngell,go cri sleep watch marley
27,0,1467814883,Mon Apr 06 22:20:52 PDT 2009,NO_QUERY,gagoo,im sad miss lilli
28,0,1467815199,Mon Apr 06 22:20:56 PDT 2009,NO_QUERY,abel209,ooooh lol lesli ok lesli get mad
29,0,1467815753,Mon Apr 06 22:21:04 PDT 2009,NO_QUERY,BaptisteTheFool,meh almost lover except track get depress everi time
30,0,1467815923,Mon Apr 06 22:21:07 PDT 2009,NO_QUERY,fatkat309,hack account aim make new one
31,0,1467815924,Mon Apr 06 22:21:07 PDT 2009,NO_QUERY,EmCDL,want go promot gear groov unforn ride may b go one anaheim may though
32,0,1467815988,Mon Apr 06 22:21:09 PDT 2009,NO_QUERY,merisssa,thought sleep option tomorrow realiz evalu morn work afternoon
33,0,1467816149,Mon Apr 06 22:21:11 PDT 2009,NO_QUERY,Pbearfox,awe love miss
34,0,1467816665,Mon Apr 06 22:21:21 PDT 2009,NO_QUERY,jsoo,cri asian eye sleep night
35,0,1467816749,Mon Apr 06 22:21:20 PDT 2009,NO_QUERY,scarletletterm,ok sick spent hour sit shower caus sick stand held back puke like champ bed
36,0,1467817225,Mon Apr 06 22:21:27 PDT 2009,NO_QUERY,crosland_12,ill tell ya stori later good day ill workin like three hour
37,0,1467817374,Mon Apr 06 22:21:30 PDT 2009,NO_QUERY,ajaxpro,sorri bed time came gmt
38,0,1467817502,Mon Apr 06 22:21:32 PDT 2009,NO_QUERY,Tmttq86,either depress think even want know kid suitcas
39,0,1467818007,Mon Apr 06 22:21:39 PDT 2009,NO_QUERY,Anthony_Nguyen,bed class work gym class anoth day gonna fli miss girlfriend
40,0,1467818020,Mon Apr 06 22:21:39 PDT 2009,NO_QUERY,itsanimesh,realli feel like get today got studi tomorrow practic exam
41,0,1467818481,Mon Apr 06 22:21:46 PDT 2009,NO_QUERY,lionslamb,reason teardrop guitar one enough break heart
42,0,1467818603,Mon Apr 06 22:21:49 PDT 2009,NO_QUERY,kennypham,sad sad sad know hate feel wanna sleep still
43,0,1467818900,Mon Apr 06 22:21:53 PDT 2009,NO_QUERY,DdubsShellBell,awww soo wish see final comfort im sad miss
44,0,1467819022,Mon Apr 06 22:21:56 PDT 2009,NO_QUERY,hpfangirl94,fall asleep heard traci girl bodi found sad heart break famili
